generation_id,subject_model,prompt_variant,ward_score,completion_tokens,ward_per_100
001a5fff-8194-4140-a9bf-4d19b561bdf3,meta-llama/llama-4-maverick,constrained_ammonia,4.333333333333333,800,0.5416666666666666
0080e065-0142-44a5-ba93-e6118e163fe6,meta-llama/llama-4-maverick,constrained_no_light,6.0,800,0.75
00994f23-28d0-4b6d-9efe-c896ce0ebed5,qwen/qwen3-235b-a22b,baseline,3.0,1329,0.2257336343115124
00aaa0c9-81ab-461a-a0a5-c008b2d86a26,qwen/qwen3-8b,constrained_no_light,5.333333333333333,3085,0.1728795245813074
012accb8-4ce4-4479-aeec-a08eb0addb26,google/gemini-3.1-pro-preview,departure_primed,8.666666666666666,2326,0.37259959873889364
015a2cb2-e433-49d9-bba8-177e61009130,anthropic/claude-opus-4.7,detailed_description,9.0,800,1.125
01b2f20b-73d1-4f3a-85ce-a68729d68956,mistralai/ministral-14b-2512,departure_primed,7.333333333333333,800,0.9166666666666666
01d7f457-d710-4968-8b19-acfd6d637e30,meta-llama/llama-3.1-8b-instruct,baseline,2.0,800,0.25
01fca3aa-0823-4310-badd-282c833d3844,meta-llama/llama-4-maverick,constrained_high_gravity,3.3333333333333335,800,0.4166666666666667
02056b35-b71d-4c61-82d1-a8247a9be8af,mistralai/mistral-large-2411,departure_primed,9.666666666666666,800,1.2083333333333333
02a4fe8b-8b59-4c7b-83fb-d5419b3326b4,deepseek/deepseek-v3.2,baseline,5.666666666666667,791,0.7163927517909818
02dcb55d-1790-4ef9-a5a0-e112e337b834,meta-llama/llama-3.1-8b-instruct,constrained_high_gravity,0.3333333333333333,701,0.0475511174512601
02dd9348-d8e3-4318-ae4a-fed2455d32ec,google/gemini-3.1-pro-preview,detailed_description,3.0,2791,0.10748835542816196
02e69c93-88e8-45de-ac64-f7f642ac450d,mistralai/ministral-14b-2512,constrained_ammonia,6.0,800,0.75
033c499f-2d08-4b03-8fc9-3d8fd6810cb3,deepseek/deepseek-v3.2,baseline,6.333333333333333,716,0.8845437616387336
